timestamp,detected,marker_id,detect_mode,L_mean,B_mean,G_mean,R_mean,clip_frac_B,clip_frac_G,clip_frac_R,michelson_contrast,x,y,z
1783360103.3319008,False,,,134.11536458333333,108.98267035590278,125.953095703125,136.7728732638889,0.000400390625,0.00034505208333333333,8.029513888888889e-05,,,,
1783360103.4576828,False,,,135.18561414930556,110.0649533420139,126.94710503472223,138.11115342881945,0.00021375868055555555,3.146701388888889e-05,1.6276041666666666e-05,,,,
1783360103.524791,False,,,135.36708550347223,110.16302191840278,127.13002712673611,138.32263237847224,0.0002495659722222222,7.486979166666666e-05,1.5190972222222222e-05,,,,
1783360103.590836,False,,,135.48513346354167,110.27792100694444,127.23914388020833,138.4860308159722,0.00028428819444444443,0.00011067708333333333,2.387152777777778e-05,,,,
1783360103.642338,False,,,135.55580946180555,110.35300455729167,127.31254448784722,138.58309136284723,0.00035047743055555554,0.00015842013888888888,2.170138888888889e-05,,,,
1783360103.708469,False,,,135.59425238715278,110.38018663194444,127.35512369791667,138.6325217013889,0.00038194444444444446,0.00019856770833333334,2.9296875e-05,,,,
1783360103.756664,False,,,135.6304709201389,110.43404622395833,127.39202582465278,138.66510199652777,0.00041341145833333334,0.00021158854166666667,3.363715277777778e-05,,,,
1783360103.806698,False,,,135.73123480902777,110.605986328125,127.49915907118056,138.755205078125,0.00044921875,0.00026041666666666666,3.7977430555555556e-05,,,,
1783360103.875755,False,,,135.6886990017361,110.59581163194444,127.46339301215278,138.70108832465277,0.00040581597222222223,0.0002734375,3.90625e-05,,,,
1783360103.943878,False,,,128.70160047743056,104.12717339409723,120.12406141493055,132.262587890625,0.00041558159722222224,0.00027886284722222223,3.472222222222222e-05,,,,
1783360104.01058,False,,,131.0270583767361,105.67043294270833,121.88351996527778,136.03397569444445,0.0005425347222222222,0.00029947916666666664,4.774305555555556e-05,,,,
1783360104.075895,False,,,137.2752322048611,112.05593315972222,129.06365342881944,140.49482421875,0.0005501302083333334,0.00029947916666666664,4.557291666666667e-05,,,,
1783360104.1438599,False,,,137.202626953125,112.02017035590278,128.98364474826388,140.38762912326388,0.00024197048611111112,0.00012044270833333334,1.4105902777777777e-05,,,,
1783360104.2108438,False,,,137.2541265190972,112.16009223090278,129.04388780381944,140.3562521701389,0.0002756076388888889,2.170138888888889e-06,1.4105902777777777e-05,,,,
1783360104.277534,False,,,137.00949110243056,111.97300130208333,128.81336371527777,140.06267035590278,0.00010959201388888889,0.0001974826388888889,1.0850694444444445e-05,,,,
1783360104.343322,False,,,136.83927191840277,111.92775282118056,128.65947157118055,139.83934678819443,0.00014539930555555554,5.4253472222222224e-06,1.0850694444444445e-05,,,,
1783360104.4099882,False,,,134.06163519965278,109.22805230034722,125.76972439236111,137.35533854166667,0.00014431423611111112,2.712673611111111e-05,9.765625e-06,,,,
1783360104.4761899,False,,,128.02225694444445,102.033974609375,119.28593967013889,132.65295138888888,6.8359375e-05,0.0,7.595486111111111e-06,,,,
1783360104.5416372,False,,,128.61034722222223,100.6833984375,119.68381618923611,133.92715603298612,0.0,0.0,0.0,,,,
1783360104.6096,False,,,131.11963541666665,97.88015625,120.28636827256945,142.7555620659722,0.0,0.0,0.0,,,,
1783360104.6759,False,,,171.0762478298611,134.1495583767361,158.54202473958333,191.15062391493055,0.0,0.0,0.006291232638888889,,,,
